,ID,y,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries
0,0x1602,1,23.0,13,19114.12,1824.8433333333328,3,4,3,4.0,3,7.0,11.27,4.0
1,0x1603,1,23.0,13,19114.12,1592.8433333333332,3,4,3,4.0,-1,14.0,11.27,4.0
2,0x1605,1,23.0,13,19114.12,1592.8433333333332,3,4,3,4.0,5,4.0,6.27,4.0
4,0x1607,1,23.0,13,19114.12,1592.8433333333332,3,4,3,4.0,8,4.0,9.27,4.0
6,0x1609,1,23.0,13,19114.12,1824.8433333333328,3,4,3,4.0,3,6.0,11.27,4.0
8,0x160f,1,28.0,14,34847.84,3037.986666666666,2,4,6,1.0,7,1.0,7.42,2.0
9,0x1611,1,28.0,14,34847.84,2903.986666666666,2,4,6,1.0,3,3.0,5.42,2.0
10,0x1612,1,28.0,14,34847.84,3037.986666666666,2,4,6,1.0,3,1.0,6.42,2.0
11,0x1613,1,28.0,14,34847.84,3037.986666666666,2,4,6,1.0,3,0.0,5.42,2.0
12,0x1614,1,28.0,14,34847.84,2903.986666666666,2,4,6,1.0,3,4.0,5.42,2.0
13,0x1615,1,28.0,14,34847.84,3037.986666666666,2,4,6,1.0,3,4.0,5.42,2.0
14,0x161a,1,34.0,12,143162.64,12187.22,1,5,8,3.0,5,8.0,7.1,3.0
15,0x161b,1,34.0,4,143162.64,12187.22,1,5,8,3.0,13,6.0,7.1,3.0
16,0x161c,1,34.0,12,143162.64,11930.22,1,5,8,3.0,8,7.0,11.1,6.0
19,0x1620,1,34.0,4,143162.64,12187.22,1,5,8,3.0,8,6.0,7.1,3.0
21,0x1626,1,54.0,5,30689.89,2612.4908333333333,2,5,4,1.0,0,6.0,1.99,4.0
22,0x1627,1,54.0,5,30689.89,2612.4908333333333,2,5,4,1.0,5,3.0,1.99,4.0
