,ID,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,y
0,0x1602,23.0,13,19114.12,1824.8433333333328,3,4,3,4.0,3,7.0,11.27,4.0,2
2,0x1605,23.0,13,19114.12,1592.8433333333332,3,4,3,4.0,5,4.0,6.27,4.0,2
3,0x1606,23.0,13,19114.12,1824.8433333333328,3,4,3,4.0,6,14.0,11.27,4.0,2
4,0x1607,23.0,13,19114.12,1592.8433333333332,3,4,3,4.0,8,4.0,9.27,4.0,2
5,0x1608,23.0,13,19114.12,1824.8433333333328,3,4,3,4.0,3,8.0,11.27,4.0,2
7,0x160e,28.0,12,34847.84,3037.986666666666,2,4,6,1.0,3,4.0,5.42,2.0,1
8,0x160f,28.0,14,34847.84,3037.986666666666,2,4,6,1.0,7,1.0,7.42,2.0,2
9,0x1611,28.0,14,34847.84,2903.986666666666,2,4,6,1.0,3,3.0,5.42,2.0,2
10,0x1612,28.0,14,34847.84,3037.986666666666,2,4,6,1.0,3,1.0,6.42,2.0,2
11,0x1613,28.0,14,34847.84,3037.986666666666,2,4,6,1.0,3,0.0,5.42,2.0,2
12,0x1614,28.0,14,34847.84,2903.986666666666,2,4,6,1.0,3,4.0,5.42,2.0,2
13,0x1615,28.0,14,34847.84,3037.986666666666,2,4,6,1.0,3,4.0,5.42,2.0,2
14,0x161a,34.0,12,143162.64,12187.22,1,5,8,3.0,5,8.0,7.1,3.0,2
15,0x161b,34.0,4,143162.64,12187.22,1,5,8,3.0,13,6.0,7.1,3.0,2
16,0x161c,34.0,12,143162.64,11930.22,1,5,8,3.0,8,7.0,11.1,6.0,2
17,0x161d,34.0,4,143162.64,12187.22,1,5,8,3.0,8,5.0,9.1,3.0,2
18,0x161e,34.0,12,143162.64,12187.22,1,5,8,3.0,10,5.0,7.1,3.0,2
