,ID,Exaggeration_Claims,Number_of_Incidents,Insurance_History_Age,Over_Insurance_Product,Mileage,Current_Car_Value,Number_Previos_CarOwners,No_Claims_Bonus,Insurance_premium
0,0x1602,0,2,66.25,0,14872.48476446825,15946.353085554205,0,44.70217505479787,260.98229826599555
1,0x1603,0,2,0.0,0,14872.48476446825,23454.96794771545,5,7.307329313881292,481.2407342622473
2,0x1605,0,2,67.0,0,14872.48476446825,19945.80743910713,3,47.947656998717015,220.1342432059433
4,0x1607,0,2,67.5,0,14872.48476446825,12379.903173276029,3,45.73581176616072,251.93681999245769
6,0x1609,0,2,0.0,0,15859.48476446825,4957.043301810411,1,2.316246477931597,384.3328280927483
8,0x160f,0,2,80.0,0,5644.8643719386655,8009.5824613977,2,60.28848152947278,224.2457977451008
9,0x1611,0,2,80.5,0,5644.8643719386655,19692.425004573703,4,60.980864597233065,258.54097619917906
10,0x1612,0,2,80.75,0,5644.8643719386655,25801.8878341717,3,58.56153961153378,291.26509947115943
11,0x1613,0,2,81.0,0,5644.8643719386655,8621.526805625745,2,57.73758299024804,239.93241784087277
12,0x1614,0,2,81.25,0,5644.8643719386655,13901.181825358508,1,56.51450596086774,262.605635411538
13,0x1615,0,2,81.5,0,5644.8643719386655,9984.008204237069,3,57.76991158762341,192.53465497934116
14,0x161a,0,4,53.25,0,74097.69583612264,16841.370267930903,3,32.440264309692374,818.641369458061
15,0x161b,0,4,53.5,0,74097.69583612264,10620.529242906896,0,39.43300653608119,669.3104542215139
16,0x161c,0,4,53.75,0,74097.69583612264,52900.0,0,31.602908199238776,851.3668957450601
19,0x1620,0,4,54.75,0,75084.69583612264,9263.730543289705,0,33.34809778612265,707.3052025650155
21,0x1626,0,2,51.75,0,5911.635497947463,16245.771742147232,5,34.32405826008227,377.78810930537634
22,0x1627,0,2,52.0,0,5911.635497947463,24976.363980469698,3,30.47302603290666,458.6801902740384
23,0x1628,0,2,52.25,0,5911.635497947463,16681.301760505,1,38.00818610838414,345.93361332478065
25,0x162a,0,2,52.75,0,5911.635497947463,38297.6,5,33.47337651602382,493.86099848970014
26,0x162b,0,2,53.0,0,5911.635497947463,16990.56963423194,0,35.59069610464601,366.6009625122001
29,0x1633,0,3,92.25,0,987.0,14888.728209999246,1,39.34208464812252,356.94965230895593
31,0x1636,0,3,93.0,1,987.0,12544.655668870018,0,45.4872376701052,319.882632460008
33,0x1638,0,3,93.5,1,987.0,18101.19827315892,3,39.53764998067484,335.7012189585527
35,0x1640,0,1,0.0,0,0.0,15005.973429800815,1,13.822560119655746,731.5348647994779
36,0x1641,0,1,96.5,0,0.0,28195.59286254788,3,71.2088062925769,159.10705707438836
37,0x1643,0,1,0.0,0,46545.0,10754.160934376292,5,10.194270865990047,665.1207935266548
38,0x1644,0,1,97.25,0,987.0,15167.129066788126,0,60.17333761594271,254.4505147716039
40,0x164a,0,1,91.75,0,41293.38162042651,17248.012701828055,1,69.37278968501563,315.7489587665652
41,0x164b,0,1,92.0,0,41293.38162042651,16074.085226489584,0,69.39494683322619,216.83720245360263
42,0x164c,0,1,92.25,0,2733.6605380378123,18806.43210997384,2,69.4412782116793,374.8435882804196
43,0x164d,0,1,92.5,0,71502.0,15390.070922679532,1,76.84410972234616,243.8545602981591
45,0x1651,0,1,93.5,0,2733.6605380378123,9131.84072079022,4,68.53017879947615,153.39327187994886
46,0x1657,0,5,44.0,1,31715.24970243268,3843.69827577036,2,42.30194263901978,292.5933522264009
47,0x1658,0,5,44.25,1,31715.24970243268,19972.076549549787,5,42.41186993617354,312.380538962794
48,0x1659,0,5,44.5,1,31715.24970243268,22055.21919291672,3,37.79008399950425,352.10252498649976
49,0x165a,0,5,44.75,1,22130.499801621783,13601.31592766847,2,22.65102803506242,398.04179993601656
50,0x165c,0,5,45.25,0,22130.499801621783,11091.956127851789,0,26.250172697973603,360.1981485202575
51,0x165d,0,5,45.5,1,31715.24970243268,2932.6363710914547,1,42.0759278238162,300.5606060061623
52,0x1663,0,4,64.25,0,68067.83757646296,9679.853581126496,2,37.68886467131257,549.6196634515136
53,0x1664,0,4,64.5,0,68067.83757646296,21453.82575515258,0,41.76062468306838,443.5781171028549
54,0x1665,0,4,64.75,0,68067.83757646296,10265.767193556154,3,39.43639305363417,529.9737012774666
55,0x1666,0,4,65.0,0,69054.83757646296,14139.851764647405,0,34.2642778430711,322.95373450715834
56,0x1667,0,4,65.25,0,68067.83757646296,24919.871440986662,3,37.42033528656851,463.2848312428133
57,0x1668,0,4,65.5,0,68067.83757646296,9827.293591558386,1,40.51577374031533,529.5872313834016
59,0x166e,0,1,0.0,0,13984.838722002622,15435.2781097101,0,6.352869738359985,464.4028655502112
62,0x1671,0,1,80.0,0,13984.838722002622,10654.514454642243,3,60.17486465393973,158.8412868375186
63,0x1672,0,1,80.25,0,49245.0,18470.057162057685,3,57.01903637667166,226.03998415544987
65,0x1675,0,1,81.0,0,13984.838722002622,11522.877923622907,3,65.7787320334393,132.94659962358438
67,0x167b,0,4,57.75,1,20489.452285954605,14026.215584175958,2,31.44273089365908,357.2598169713946
68,0x167c,0,4,58.0,1,20489.452285954605,9510.426894197331,5,34.8191137793325,204.29221911377107
69,0x167d,0,4,58.25,1,20489.452285954605,5038.512382062942,2,28.23532338025231,342.85111633025406
70,0x167e,0,4,58.5,1,20489.452285954605,8565.204904794758,3,30.94615337909478,241.35497510166493
71,0x167f,0,4,58.75,1,20489.452285954605,14572.016362578916,1,32.759165795991514,358.65967849182226
72,0x1680,0,4,59.0,1,20489.452285954605,7085.43390833674,3,34.15657382372695,327.4202494592276
