,ID,Exaggeration_Claims,Number_of_Incidents,Insurance_History_Age,Over_Insurance_Product,Mileage,Current_Car_Value,Number_Previos_CarOwners,No_Claims_Bonus,Insurance_premium
0,0x1602,0,2,66.25,0,14872.48476446825,15946.353085554205,0,44.70217505479787,260.98229826599555
2,0x1605,0,2,67.0,0,14872.48476446825,19945.80743910713,3,47.947656998717015,220.1342432059433
3,0x1606,0,2,67.25,0,14872.48476446825,8213.616356996896,1,44.07496447148592,236.91265243908316
4,0x1607,0,2,67.5,0,14872.48476446825,12379.903173276029,3,45.73581176616072,251.93681999245769
5,0x1608,0,2,67.75,0,14872.48476446825,17834.40674122349,3,42.998435037193765,241.06496732207592
7,0x160e,0,2,79.75,0,6631.8643719386655,20858.365033649203,3,38.14294059092313,405.49417717208826
8,0x160f,0,2,80.0,0,5644.8643719386655,8009.5824613977,2,60.28848152947278,224.2457977451008
9,0x1611,0,2,80.5,0,5644.8643719386655,19692.425004573703,4,60.980864597233065,258.54097619917906
10,0x1612,0,2,80.75,0,5644.8643719386655,25801.8878341717,3,58.56153961153378,291.26509947115943
11,0x1613,0,2,81.0,0,5644.8643719386655,8621.526805625745,2,57.73758299024804,239.93241784087277
12,0x1614,0,2,81.25,0,5644.8643719386655,13901.181825358508,1,56.51450596086774,262.605635411538
13,0x1615,0,2,81.5,0,5644.8643719386655,9984.008204237069,3,57.76991158762341,192.53465497934116
14,0x161a,0,4,53.25,0,74097.69583612264,16841.370267930903,3,32.440264309692374,818.641369458061
15,0x161b,0,4,53.5,0,74097.69583612264,10620.529242906896,0,39.43300653608119,669.3104542215139
16,0x161c,0,4,53.75,0,74097.69583612264,52900.0,0,31.602908199238776,851.3668957450601
17,0x161d,0,4,0.0,0,74097.69583612264,18979.97420860602,4,10.225828482983063,553.2900267804819
18,0x161e,0,4,54.25,0,74097.69583612264,19655.08579909397,5,34.41154028744933,660.6942058659037
19,0x1620,0,4,54.75,0,75084.69583612264,9263.730543289705,0,33.34809778612265,707.3052025650155
20,0x1621,0,4,55.0,0,75084.69583612264,38297.6,0,33.60278338747094,848.8688824418148
22,0x1627,0,2,52.0,0,5911.635497947463,24976.363980469698,3,30.47302603290666,458.6801902740384
24,0x1629,0,2,52.5,0,5911.635497947463,9586.15811632752,3,31.991408563506194,235.19869901551897
25,0x162a,0,2,52.75,0,5911.635497947463,38297.6,5,33.47337651602382,493.86099848970014
27,0x162c,0,2,53.25,0,5911.635497947463,14256.734976573867,5,34.9200291571321,368.11378203548543
29,0x1633,0,3,92.25,0,987.0,14888.728209999246,1,39.34208464812252,356.94965230895593
31,0x1636,0,3,93.0,1,987.0,12544.655668870018,0,45.4872376701052,319.882632460008
32,0x1637,0,3,93.25,1,987.0,7528.7275779279935,1,40.60917341672069,328.4013154232898
33,0x1638,0,3,93.5,1,987.0,18101.19827315892,3,39.53764998067484,335.7012189585527
34,0x163f,0,1,96.0,0,0.0,17293.921446875607,4,79.26268859857367,182.2541124002726
35,0x1640,0,1,0.0,0,0.0,15005.973429800815,1,13.822560119655746,731.5348647994779
36,0x1641,0,1,96.5,0,0.0,28195.59286254788,3,71.2088062925769,159.10705707438836
37,0x1643,0,1,0.0,0,46545.0,10754.160934376292,5,10.194270865990047,665.1207935266548
38,0x1644,0,1,97.25,0,987.0,15167.129066788126,0,60.17333761594271,254.4505147716039
39,0x1645,0,1,97.5,0,0.0,8454.637546950933,3,72.79668592319273,239.60169934748708
40,0x164a,0,1,91.75,0,41293.38162042651,17248.012701828055,1,69.37278968501563,315.7489587665652
42,0x164c,0,1,92.25,0,2733.6605380378123,18806.43210997384,2,69.4412782116793,374.8435882804196
43,0x164d,0,1,92.5,0,71502.0,15390.070922679532,1,76.84410972234616,243.8545602981591
44,0x164e,0,1,92.75,0,97986.0,12012.448657482108,2,75.84755712740593,261.66256787243026
45,0x1651,0,1,93.5,0,2733.6605380378123,9131.84072079022,4,68.53017879947615,153.39327187994886
47,0x1658,0,5,44.25,1,31715.24970243268,19972.076549549787,5,42.41186993617354,312.380538962794
49,0x165a,0,5,44.75,1,22130.499801621783,13601.31592766847,2,22.65102803506242,398.04179993601656
52,0x1663,0,4,64.25,0,68067.83757646296,9679.853581126496,2,37.68886467131257,549.6196634515136
54,0x1665,0,4,64.75,0,68067.83757646296,10265.767193556154,3,39.43639305363417,529.9737012774666
56,0x1667,0,4,65.25,0,68067.83757646296,24919.871440986662,3,37.42033528656851,463.2848312428133
57,0x1668,0,4,65.5,0,68067.83757646296,9827.293591558386,1,40.51577374031533,529.5872313834016
58,0x1669,0,4,65.75,0,69054.83757646296,8960.926207142946,2,33.68915517020586,552.0586398927493
59,0x166e,0,1,0.0,0,13984.838722002622,15435.2781097101,0,6.352869738359985,464.4028655502112
60,0x166f,0,1,79.5,0,13984.838722002622,13625.436500815737,3,58.541459155021016,150.66742682327862
61,0x1670,0,1,79.75,0,13984.838722002622,27924.7440131983,4,60.59422762195323,257.84534630278466
62,0x1671,0,1,80.0,0,13984.838722002622,10654.514454642243,3,60.17486465393973,158.8412868375186
64,0x1673,0,1,0.0,0,13984.838722002622,27309.36535670353,4,3.672147420668491,627.3673451482503
65,0x1675,0,1,81.0,0,13984.838722002622,11522.877923622907,3,65.7787320334393,132.94659962358438
66,0x167a,0,4,57.5,0,20489.452285954605,23461.339421317112,1,34.158895959336355,379.43496317079695
67,0x167b,0,4,57.75,1,20489.452285954605,14026.215584175958,2,31.44273089365908,357.2598169713946
68,0x167c,0,4,58.0,1,20489.452285954605,9510.426894197331,5,34.8191137793325,204.29221911377107
69,0x167d,0,4,58.25,1,20489.452285954605,5038.512382062942,2,28.23532338025231,342.85111633025406
70,0x167e,0,4,58.5,1,20489.452285954605,8565.204904794758,3,30.94615337909478,241.35497510166493
71,0x167f,0,4,58.75,1,20489.452285954605,14572.016362578916,1,32.759165795991514,358.65967849182226
72,0x1680,0,4,59.0,1,20489.452285954605,7085.43390833674,3,34.15657382372695,327.4202494592276
73,0x1681,0,4,0.0,1,20489.452285954605,5193.922382955703,2,5.101450279761419,470.5279070861323
74,0x1686,0,3,76.25,0,41539.01129151531,19786.352804134025,2,33.47279835861064,618.9870861430603
76,0x1689,0,3,77.0,0,41539.01129151531,13601.31592766847,3,35.20385900500641,201.8358492948217
77,0x168a,0,3,77.25,0,40552.01129151531,12753.125734342932,1,51.92505968369687,331.43245134519475
78,0x168b,0,3,77.5,0,40552.01129151531,15780.902981689223,3,54.11087181261758,162.07035513053816
79,0x168c,0,3,77.75,0,48214.2,16407.48218779106,2,47.28121981183703,438.354177212336
80,0x168d,0,3,78.0,0,40552.01129151531,19521.03893926778,2,50.18465663633456,462.4177663155359
81,0x1692,0,0,80.5,1,38304.62472627613,8579.487396201723,5,54.62723693123905,203.3186239745811
82,0x1693,0,0,80.75,1,38304.62472627613,14275.186411942675,1,57.169679402589246,248.9413302169655
83,0x1694,0,0,81.0,0,38304.62472627613,6669.913717868903,2,58.50138654227481,250.552189004626
84,0x1695,0,0,81.25,1,38304.62472627613,21535.53374975059,3,56.08144467371722,153.76318695700573
